Date,Activity ID,Type,Distance (km),Duration,Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
2021-10-11,7e1d52b1-2108-411d-9d65-c2bf05b7ba6b,Walking,6.49,964,0.41,1461,147,140,48.57
2021-03-27,b576c155-5f71-4b43-a721-1cfb6899d4be,Cycling,21.71,2074,0.64,697,178,70,120.24
2022-08-08,020bfbee-3027-4d5e-8a46-f57e1eab6121,Walking,25.13,713,2.28,500,460,146,34.73
2021-05-19,2490e7c1-77fa-4fd5-9b24-ae97dd2a8453,Cycling,18.74,1759,0.65,1400,17,102,13.45
2021-10-04,83322ab4-65ab-46a0-b78f-4103c6a4f680,Walking,11.3,2026,0.34,549,172,108,58.12
2021-10-03,6458e829-ea30-4957-acbc-87f2ddac517e,Walking,20.19,819,1.55,960,235,84,69.97
2021-03-26,922b10d8-564c-464d-a186-4f9364f58707,Cycling,3.18,142,1.59,1268,204,101,10.24
2021-12-18,f4a8af30-1e07-4770-9527-ab09c2644d4a,Cycling,13.21,1014,0.83,1385,54,140,17.0
2022-06-24,86bfb60d-476b-4d21-876a-5c7081e09ceb,Cycling,11.42,1550,0.46,1098,401,139,157.28
2020-09-29,f98eeab1-cc78-40eb-a4d5-579a65d51177,Walking,29.79,2207,0.83,1334,320,133,230.4
2020-10-05,4e482ee0-e04e-4de4-b23a-2f107c41b8fd,Running,20.19,2831,0.43,1165,313,69,496.27
2021-04-19,fa1daf32-b5ed-440b-a575-7e0e4f9493e3,Walking,2.03,3189,0.04,816,266,108,203.99
2021-01-27,50b54bf4-a9ba-4a35-ac4f-4cd94d421f64,Running,16.7,576,1.86,997,246,118,37.32
2021-05-02,d13e4999-2fb0-4e4b-b21e-053cd711ed1d,Walking,21.02,585,2.34,777,372,140,37.09
2021-10-14,a40a4751-b4d8-4527-bbcd-74ad3ecc02ca,Cycling,27.48,2265,0.74,972,194,121,115.74
2022-08-07,8cd83550-1b68-428f-96c1-33a8b1357055,Running,5.54,1972,0.17,912,488,103,281.62
2022-04-13,edb935d7-1fd4-47f6-894a-af94a4c249e0,Running,7.46,2599,0.17,689,431,132,197.44
2022-07-06,7a60deb7-bc17-45f2-911d-ef6d09a82add,Running,12.6,3324,0.23,691,319,82,294.53
2022-07-14,d13e604e-742e-471c-82eb-af41a41bba25,Walking,16.8,2607,0.39,1040,92,68,121.22
2020-08-09,b7a68583-0979-48d1-88af-d8efa69a62b2,Running,27.53,2624,0.64,668,268,72,213.91
2021-04-01,2da124ea-f206-4faa-b0e5-4af12a6013b3,Walking,26.93,325,5.39,617,211,64,20.33
2022-07-19,93546ef2-76ac-47f9-b060-9f1fe0d38c68,Running,13.59,177,6.8,805,200,78,8.25
2021-02-21,63f9e64a-1355-4b94-b6eb-36ff58d9d14b,Cycling,22.91,3220,0.43,1018,22,136,17.55
2021-07-14,007994f4-3b1c-48d7-809b-7ad85e98142e,Walking,21.97,981,1.37,1007,376,124,97.93
2022-03-19,48f27f20-0e2b-49a8-a8df-965ae5ae591d,Walking,13.51,1069,0.79,1308,371,105,158.07
2021-04-28,0727276e-8bd2-4f5d-ae7f-a0620c1c6f0c,Cycling,22.72,1095,1.26,1356,425,112,185.57
2022-07-18,7f76ff46-0098-4e60-9703-686a187f6bbe,Walking,20.63,1999,0.63,1388,303,88,313.0
2022-07-04,8e118f1b-7183-46e0-ba26-1a457402f338,Running,14.67,3318,0.27,1349,295,137,315.65
2020-08-28,dffeb85b-82bf-4e9b-afeb-348b9d197a5c,Walking,17.5,2603,0.41,1123,350,99,338.92
2020-08-26,3fdf38c7-727d-4c3d-8a18-47b2be1b444d,Cycling,29.0,2341,0.74,1206,158,97,153.97
2021-09-09,62946043-148c-43a9-985c-b0d6af737920,Walking,20.77,1062,1.22,512,340,61,97.17
2020-10-29,569eafb6-5e88-45da-ab6f-abb7a5c1ca17,Walking,22.66,1199,1.19,1254,338,119,135.65
2022-08-08,2d629766-89b5-4afd-9876-ad70c9fa5575,Cycling,8.56,1640,0.32,1015,182,83,119.07
2021-06-21,2b0953b3-3908-4481-bf34-106b49d6a27f,Running,16.48,104,16.48,1423,252,67,10.7
2021-09-14,dc8e5378-6b6e-43a2-a9a2-b57ed8335dc0,Cycling,19.35,3465,0.34,835,300,117,243.7
2020-09-07,1eadc7f3-6173-4215-ba92-6177186e3735,Walking,23.06,1509,0.92,753,64,123,19.64
2021-09-29,892d213b-e560-4633-95a5-9ce5b68189fc,Walking,5.38,2203,0.15,667,230,86,127.96
2021-09-11,00c8df5e-9783-4686-85a7-5d3368d16d92,Walking,6.57,2568,0.16,1414,265,97,317.25
2022-03-12,d4fd8080-a25a-451e-bfa5-0472d961b5cf,Walking,15.24,2978,0.31,504,438,92,235.92
2021-08-02,9d1d8ca2-285a-4be3-86ee-72008f802e2c,Running,11.68,527,1.46,1308,71,109,13.63
2021-10-24,88fcae53-5d13-40b6-8352-06ca95576eff,Running,5.57,2457,0.14,1219,300,130,223.84
2021-05-12,f47dfd77-94fe-4fcd-9cbe-363790fe6193,Cycling,21.48,100,21.48,529,11,103,0.11
2022-06-12,bab3756d-5e0f-4b2f-be0c-3ef37d49fca4,Cycling,7.47,572,0.83,1161,141,145,20.32
2022-05-03,490cd653-5145-40a9-a6c7-ba5908749a6e,Cycling,14.29,760,1.19,1257,208,94,66.8
2021-12-03,20e2ee85-f520-4b57-a33c-070dab8e267c,Cycling,19.7,2819,0.43,1347,112,147,94.04
2021-01-26,508c55f2-4f35-4e04-bf8b-d44b7d0b9683,Running,8.86,539,1.11,1438,345,63,125.71
2021-08-17,58aca42d-1792-4d82-ae21-2430f3690d2e,Cycling,9.12,1691,0.33,1303,338,83,293.29
2020-08-08,0d16aaec-131c-4b0a-bb0e-0497af36917c,Walking,7.14,866,0.51,852,96,128,17.89
2022-07-31,fba00825-1173-46f5-a542-356ff3e69191,Walking,6.69,3488,0.12,1282,137,136,143.99
2022-06-14,85a0094d-f483-404f-bd89-14c0d2a4d038,Running,11.95,3443,0.21,1190,352,94,507.15
2021-09-15,5d886a67-b030-41a9-b363-f8bc0cb393e0,Cycling,29.34,1709,1.05,523,127,136,27.29
2021-11-22,5b64f9e3-de94-4e56-ac64-ce3f0d0fcc18,Running,23.79,90,23.79,821,187,149,2.06
2022-01-17,57fdf40e-c608-4b31-ba5d-3cfad1509c98,Walking,21.59,1107,1.2,1381,449,142,157.13
2020-11-29,5a2be00f-6eb7-4f1d-8f9b-78ed39561c08,Walking,2.72,528,0.34,658,8,147,0.57
2021-05-30,f65636b1-7da0-4b42-a01c-2e92a41fdf3f,Walking,16.71,3013,0.33,972,298,83,353.42
2022-08-29,114619bf-5016-4377-a0fb-c191d012a507,Running,27.36,1773,0.94,738,341,120,122.08
2021-02-06,c79a9aee-b327-4198-9d37-5ae92241eac1,Walking,2.32,793,0.18,1396,285,140,73.26
2022-06-08,a21caaae-15b9-4b91-ac13-a9400ec8f836,Walking,7.83,804,0.6,714,434,149,54.28
2021-05-31,117126b7-7290-4075-8cf2-63de27306966,Walking,27.28,572,3.03,1323,53,150,8.42
2020-10-13,6db439bc-2b1f-4f29-a356-70263ac18d7d,Walking,5.77,3169,0.11,1276,19,86,29.57
2020-08-11,db096bd6-ae39-428c-af83-c160261bcf9c,Running,17.55,1947,0.55,871,432,99,242.56
2021-12-15,e0b9825a-fe3c-459b-b2e5-99eb79e51702,Walking,17.77,846,1.27,935,421,79,139.44
2021-04-17,ce727130-87d5-4630-90af-50a3c036822c,Walking,11.43,1267,0.54,1098,1,97,0.48
2021-05-12,8b301b3b-15c3-4a82-916a-96814df1afb2,Walking,24.37,2944,0.5,939,63,148,38.96
2020-08-18,8cbaa028-a122-4d92-926e-945df9864333,Running,12.12,1214,0.61,1476,186,120,90.91
2022-02-10,1a558050-adfa-4957-bc3f-6dc17d8f7ab8,Cycling,7.82,1511,0.31,517,353,75,122.77
2021-04-06,6b4400f0-47f3-4c0b-8505-170e4747da44,Running,11.96,2895,0.25,647,248,148,103.73
2020-09-03,1487a3c8-bd1d-4a6a-b8ab-e4b4faac19b9,Walking,29.07,2890,0.61,905,247,70,304.36
2020-11-28,16bc06c3-c505-47f6-a17c-810418ff866d,Walking,7.46,2470,0.18,1009,143,102,117.25
2022-08-27,74922cfa-15f9-425e-8961-aa9317785854,Running,21.72,706,1.97,762,466,122,64.18
2021-09-23,5aede9fc-07f2-4864-a96b-2cc00c36cdea,Running,28.87,2195,0.8,1398,448,145,311.75
2022-03-17,883e475f-f13a-4ab2-bf1e-c6df6b74e6db,Walking,20.17,2501,0.49,701,225,117,110.98
2022-07-24,2375b937-0c9a-45b5-9692-931708496d2f,Walking,24.22,1320,1.1,853,14,121,4.35
2022-08-02,4584f2c7-a2ff-4d55-b89a-69bd9a183d34,Cycling,2.73,2827,0.06,1448,224,117,252.27
2021-12-31,b978377f-9634-4f27-8b3c-4d4dd6661858,Walking,26.53,2777,0.58,581,476,128,197.66
2020-09-13,10971535-324b-467d-95f0-fe9e0ca031c9,Walking,18.02,1297,0.86,1026,339,92,158.43
2021-12-19,bd5a3924-5366-41ff-9455-85ed408d1ebc,Running,4.99,779,0.42,629,54,96,8.41
2020-12-05,c8a97737-f50c-487f-ad92-a8853f80128d,Cycling,9.41,2623,0.22,1029,100,72,122.26
2022-06-25,23eae759-06d2-4f08-91a1-713092b3baca,Walking,20.42,2794,0.44,1065,374,119,310.68
2022-06-01,ebf03066-0d6e-4602-985e-ffeb1546f170,Cycling,26.96,2992,0.55,867,317,135,199.59
2022-04-16,9a255a52-084d-4daf-ad4e-5749facfb7ea,Running,13.33,2537,0.32,643,103,132,41.8
2022-03-26,574b75f1-0b0d-4afc-a2d5-ba7c09552bae,Walking,13.06,3279,0.24,1400,155,133,177.57
2021-04-05,f7825870-2ddc-4adf-a926-82ca539310a1,Walking,2.08,914,0.14,858,374,101,94.41
2020-08-13,deacd318-d7f0-49fa-bd74-93dc94beff6c,Cycling,28.27,943,1.88,1407,20,126,6.72
2021-11-09,d095d6dd-7236-43ac-85d0-881b123ffd58,Walking,14.24,3387,0.25,916,418,107,407.65
2021-02-06,8952a936-1afe-42db-93bd-fd01251e840e,Walking,3.28,3298,0.06,621,195,126,105.08
2021-10-24,7fd3977e-774f-4871-af95-998f367b1962,Walking,22.4,1607,0.86,1448,387,79,369.51
2021-11-27,9b1b4a83-dad0-4c7a-8214-e0c67989a018,Walking,2.09,2026,0.06,1097,211,107,150.71
2022-03-19,b64a695b-6d5a-4c6d-b1d2-e47889897e42,Running,3.65,3212,0.07,1090,18,94,21.77
2021-11-20,bbb69785-831f-410e-a9fa-187cb5b1f854,Cycling,21.48,2137,0.61,1340,158,92,162.07
2020-08-21,eacc4dcf-1607-42d5-8cdf-b4487db95183,Walking,22.46,3174,0.43,1127,93,98,111.73
2021-02-12,41b37ed0-3899-45e0-a537-34ab4ec8f24b,Running,5.71,1114,0.32,1122,470,89,211.45
2022-07-16,341343d6-b0b0-4e4e-9b29-efae94327571,Running,26.2,704,2.38,501,421,139,33.41
2022-01-26,87292bce-0522-41fa-bdc1-19c58b578a63,Running,20.22,1303,0.96,677,169,73,66.02
2022-08-29,fce8e08d-c12a-4f7a-bb59-2f1eecdf6071,Walking,9.47,3511,0.16,664,142,66,169.11
2021-09-23,db877c26-1aa0-4341-8738-bbf3c807f88e,Running,20.1,3518,0.35,868,231,81,284.32
2021-06-15,579e9d3d-2210-4877-98e7-c3334c6ed537,Cycling,7.35,2668,0.17,562,183,113,78.7
2021-06-27,0d337add-8246-4671-b572-82f460707a05,Walking,14.44,605,1.44,558,60,90,7.46
2022-05-28,7af9be15-d9e5-4131-ac65-f6cd449c9912,Walking,6.6,612,0.66,647,275,113,31.49
2021-10-01,b410cb46-0097-4b0b-b0e2-73df6234e7ee,Cycling,21.33,924,1.42,582,448,104,75.32
2022-04-11,18cf53af-62dc-4dde-aa87-e1c31f883167,Running,16.44,1938,0.51,653,142,112,53.38
2022-02-14,882c0577-9f03-4362-8d45-fca1e09eb888,Walking,16.84,1482,0.7,706,15,81,6.29
2022-04-24,573f02ab-36b1-4397-a122-30679e1af35f,Walking,6.86,2119,0.2,710,471,137,167.45
2021-01-08,4cd941a5-1ddf-48a5-8d4f-2f597048aef0,Cycling,6.74,3091,0.13,707,448,74,443.83
2020-10-14,b39bdc27-2a51-49d3-a081-998232555e43,Walking,27.6,2800,0.6,1313,307,126,294.32
2021-04-27,90c73516-687d-4cd5-85a1-205e6b1da956,Running,19.61,3310,0.36,1133,500,95,649.65
2022-05-30,459e80e9-0cec-4bb0-b48e-813d53138779,Walking,24.76,2451,0.62,694,352,136,143.47
2021-04-05,a22a5902-5038-4df6-8aac-0ea4b1b1c011,Cycling,13.51,1614,0.52,638,313,130,79.82
2022-02-08,cb4f4b90-21b2-4760-a73e-e8ee36927c9a,Cycling,27.51,3101,0.54,930,382,90,402.19
2020-10-18,50495d67-622b-4d72-8682-75480547247a,Walking,4.32,2424,0.11,1423,403,139,324.05
2022-05-28,7e6720d8-011c-4c68-b54e-6aa6c9c783bf,Walking,17.08,774,1.42,1493,194,79,88.2
2022-03-29,1efe1288-ac73-4835-8170-3f478814d2ed,Walking,18.03,2180,0.5,1421,122,69,181.2
2022-05-14,4070f914-825e-465e-a0bd-23c1fee07caf,Walking,23.26,3402,0.42,1239,445,148,412.63
2021-02-25,343995aa-2355-4ae5-8119-79bd70a4c029,Walking,25.87,3180,0.49,713,322,127,190.89
2020-09-24,3f6baeba-5faa-451c-b0d2-aec4a20538d5,Running,28.97,3476,0.51,746,229,113,171.75
2021-05-27,ea9eebc2-a058-4092-88cb-bb3e562b2df1,Walking,20.81,2037,0.63,816,134,63,114.66
2020-12-01,1269a2a7-318d-4c48-b834-46f705d901af,Walking,28.14,1621,1.04,712,268,105,98.34
2020-08-06,de34cd6d-aacd-4d85-bc26-307fc58758ae,Walking,20.61,721,1.72,721,380,143,45.92
2022-05-03,b21ae894-45c4-4cc4-9ef8-3cf9db99b56c,Cycling,20.23,1239,1.01,1294,171,68,130.35
2021-01-21,9d0a4db8-1dc1-4437-93c5-4b7264f7165a,Running,6.55,723,0.55,750,231,137,30.12
2021-08-15,4d1e239e-613d-45d2-86ad-28a07066bd09,Cycling,19.32,1235,0.97,552,211,139,33.38
2021-04-19,7b7fbe4b-a8d4-4e6f-8141-247134290836,Walking,14.39,73,14.39,735,331,130,3.74
2020-10-25,91340747-9031-4de3-8f31-2c1e5544358b,Walking,6.53,3422,0.11,1372,477,60,1295.01
2021-08-21,ca7cc814-eb3a-44d4-91b5-7dcf92138e73,Running,21.95,2524,0.52,1210,158,89,181.35
2020-11-23,27b8db48-34c1-4b2f-8aa0-5e4dc19a3a7b,Walking,18.35,1451,0.76,1033,237,68,173.86
2022-02-27,2d33badd-c7ba-4829-bbe7-3019ec2c6b1a,Cycling,16.24,1108,0.9,1173,351,128,116.08
2020-10-09,26483318-af24-4b18-82f0-79a7f9ce6568,Walking,14.82,102,14.82,569,76,123,0.7
2022-05-28,e0b392f4-4a6c-4918-8a25-8d8a2d236a8c,Walking,20.12,1165,1.06,863,160,127,41.27
2021-04-27,2c06e791-29dd-418e-8781-53d2aa448b6a,Walking,22.39,3110,0.44,1153,18,146,14.47
2021-02-15,937ad713-b1c0-4997-a049-e81b542353e0,Walking,2.29,2035,0.07,1199,33,100,25.89
2022-05-15,5b5c4d4c-017e-44bf-acca-278027de3bf4,Walking,7.99,3191,0.15,1093,11,94,13.63
2021-10-11,8fedb593-f61c-4b72-ad96-e0f700bd6012,Walking,23.16,3244,0.43,1121,326,92,427.89
2021-07-28,daf3ab26-588a-4c75-9bb1-b8df13772f7c,Running,20.08,712,1.83,1117,434,145,73.37
2021-03-07,0e8239bd-81e1-4a71-b017-761cc6535ea5,Cycling,29.95,1267,1.43,636,270,75,95.91
2020-08-01,d2024299-8927-48a3-ac24-a1bf4322870b,Walking,3.81,1147,0.2,734,149,113,36.87
2021-09-09,7e2fbfc5-b49c-4d69-9829-d62f11631278,Walking,3.04,1009,0.19,1138,64,103,22.63
2021-11-27,e56db39a-196f-41c9-87e1-c8313aa93ebb,Running,26.21,3150,0.5,745,237,91,203.42
2021-01-13,36b3f68b-564b-4d42-ab48-4b9ca20ff597,Walking,24.01,938,1.6,1030,311,116,82.88
2022-03-13,a1c820b8-856a-4238-9e0f-6713e2cee1ed,Cycling,20.8,3481,0.36,1382,229,139,263.1
2022-01-15,79f075b8-0fce-4a9f-ba16-81629fb3ea70,Cycling,7.3,1216,0.37,984,117,102,44.54
2020-10-25,2fbd44ff-410b-497a-8d10-e1827cb0e8d1,Running,19.09,3546,0.32,1483,282,137,364.21
2021-05-10,5c1f009c-ab7a-4310-8f1d-800009978f59,Cycling,16.8,3261,0.31,1130,495,87,696.85
2022-04-04,55a9b114-44b1-48b2-8dd1-5f716bfb22f3,Walking,5.0,108,5.0,848,377,109,5.87
2021-02-21,9e067829-2594-496c-9751-4b7644196d60,Cycling,6.54,1462,0.27,1070,384,148,134.49
2020-08-29,0434f6ea-a2c6-4ba9-a4b6-10c7de4cd09a,Walking,9.09,1048,0.53,1155,225,116,76.85
2021-03-23,bda07fc0-5263-4158-b7f4-9a2c2fdd8586,Walking,21.85,2801,0.48,1369,84,147,71.22
2021-01-17,a09b1b8e-f1d1-4e99-b08e-3b20eb956370,Walking,3.47,1574,0.13,588,43,135,10.0
2020-09-23,e7c2f310-709c-49ea-bb2d-6bee7b409df3,Walking,19.03,3546,0.32,1358,375,69,877.81
2021-10-12,207a279a-e53c-4550-816c-52bb99d74bf6,Walking,13.37,1937,0.42,549,330,103,111.99
2021-06-01,27b3ab83-b021-4f87-8f65-2a47a5af90ce,Running,6.16,2374,0.16,1259,168,95,171.44
2021-02-04,66353c95-a39a-4d6a-ab1e-e6faebc79b47,Walking,28.69,3434,0.5,876,84,89,94.88
2021-11-11,019ea6e4-3b0d-4c13-9808-251c82a47ccf,Walking,22.56,487,2.82,1017,157,129,19.8
2021-01-02,c5425c2e-caa6-4128-8045-f42caf26ccc9,Cycling,20.75,2559,0.49,1076,253,99,232.89
2022-01-09,35b4742c-6f4a-4e0e-9608-92ac824d7476,Cycling,20.95,464,2.99,716,54,75,7.22
2022-05-16,1c6d7da4-7b2b-4f81-b8f8-678571475914,Walking,4.63,2200,0.13,1004,185,135,98.0
2021-09-22,52e5a1e2-de43-4a4f-9db6-a0d1e05032f2,Cycling,14.37,476,2.05,780,41,101,4.44
2020-08-11,70ce65d1-5d4e-433b-8f35-d1d169db24cd,Walking,12.86,1176,0.68,1240,129,98,61.74
2021-04-11,44d5629b-2f88-42cb-a461-a37bfecfaa22,Walking,2.44,2085,0.07,700,189,78,118.25
2021-06-23,fe3a2502-bed7-438b-9b46-aaf0a7566d47,Cycling,17.78,2392,0.46,1054,115,90,104.11
2020-11-01,3e70a056-8202-4bd7-83e9-46c37659e0d1,Cycling,28.31,3072,0.56,1350,221,72,418.96
2022-06-27,49253aed-9d1a-4921-a913-ea68aef3184b,Walking,26.16,3340,0.48,854,30,118,23.67
2022-02-15,9a734266-4056-41bc-bee4-982792950db5,Walking,2.27,3001,0.05,710,242,71,219.74
2020-12-23,fb7ef216-0b54-4a5d-9b1c-15db95542416,Running,25.7,1403,1.12,1211,126,143,48.97
2020-12-30,e2286d51-9e5a-472e-b40d-b09c112c213f,Running,18.85,2574,0.45,1285,75,119,67.85
2020-10-20,9680caee-a50e-4ca0-8ed8-41b3cce0f44f,Walking,16.71,212,5.57,845,297,80,18.82
2021-04-20,b0f56cab-fcdb-451e-96b8-6911f5f10573,Cycling,22.14,2490,0.54,994,423,148,232.96
2021-11-25,8cc92102-420a-46bf-9d01-b4ae3a4d48db,Walking,12.88,2020,0.39,822,247,122,109.92
2022-01-27,fa860a6f-8d1d-415c-97e3-dec63d9fbd92,Cycling,19.34,1040,1.14,645,67,74,19.81
2021-08-10,04f6333a-14cf-4ce7-9a74-a04d2cf375ab,Walking,24.63,2945,0.5,529,227,73,162.06
2021-09-11,cc9b574c-55c3-427a-98a0-093e204d3f48,Cycling,17.84,2396,0.46,612,8,122,3.11
2020-12-02,2f0cbc4f-f54c-4a78-bbc8-150286003a41,Walking,11.5,244,2.88,873,116,113,7.16
2022-04-30,9d291b94-39aa-4352-b36f-f2a236fca299,Walking,6.03,1364,0.27,575,439,150,75.17
2021-08-01,4b96b19d-5e70-43cf-b5d2-56d0be57765b,Running,17.69,242,4.42,872,48,144,2.33
2020-11-15,ca4cf286-bd01-4a70-b2a8-877eb22f580e,Walking,10.24,3549,0.17,969,76,100,88.72
2022-03-16,720ff5f0-168f-4776-82a1-9e94e41457be,Running,6.74,1943,0.21,622,51,118,17.26
2022-05-20,4b425175-a37b-4665-9443-651bd368008d,Cycling,15.72,3240,0.29,906,372,138,264.77
2021-08-23,04c903c1-244d-49be-a758-e7160ca96b87,Walking,9.41,3007,0.19,1306,210,120,226.38
2021-04-09,f0e13693-f4a0-4d10-aaf9-fea349428862,Walking,28.19,2620,0.66,839,473,69,491.31
2020-11-27,8f1fdc0b-60d1-4a0f-a14c-36c843760f7f,Cycling,18.04,1624,0.67,1395,138,149,69.58
2022-08-06,ec88505b-6598-428c-b50f-b7a8ea2eb97a,Running,10.52,3001,0.21,1195,215,87,295.88
2020-10-12,3ab95f8e-8494-41c0-9623-657ca039fbb8,Walking,5.33,2983,0.11,741,2,60,2.39
2021-08-05,da3e80e2-70cf-423a-8a85-6a34878ed99b,Walking,20.73,1358,0.94,783,55,97,19.58
2021-06-08,de315a18-793f-4d6b-92b7-0645cac83a73,Walking,29.18,214,9.73,1210,482,126,27.76
2020-08-23,5496fbfe-fdd4-4980-ab59-f8c24bd4869b,Cycling,24.04,3468,0.42,864,359,71,500.11
2022-03-24,b7aecbb1-acb2-46e9-a826-429ef8f01272,Walking,14.87,2491,0.36,1003,175,109,133.03
2020-11-16,fa8ece48-6c11-4088-840a-f4f026bfa497,Cycling,8.48,3248,0.16,825,377,67,492.07
2022-01-05,c2a1a12e-0b88-4d9a-a6e9-0e7fbb7f5a11,Walking,20.9,2215,0.58,862,462,97,295.89
2021-03-12,c81bc8d5-67c0-4e06-80f6-78581fa2b835,Walking,22.87,1437,0.99,1194,375,95,217.76
2020-11-16,9331e2aa-7da0-4254-a6fc-dbdaa51ea28b,Walking,10.76,3326,0.2,929,179,137,130.61
2020-11-16,901d0358-baa6-4309-b8ae-cbfe7805945a,Walking,4.98,1379,0.23,1198,294,134,113.82
2022-06-01,57b76b42-b6e3-486f-aa1b-6245f66e0fc1,Walking,7.54,3434,0.13,566,52,137,24.92
2021-07-03,ed66bc7e-1ce7-4de4-bd4f-f19189389624,Walking,23.4,3174,0.45,1480,384,129,458.18
2022-02-09,e0e28af6-e796-4a08-ba38-232b1052e0ba,Walking,23.0,351,4.6,976,436,137,31.06
2020-12-25,c0c1caae-2d02-4036-8f19-b18e30484051,Walking,29.07,1596,1.12,518,194,119,43.84
2022-08-08,1f4d0462-f617-499f-b8e4-b372c557cc2f,Walking,19.39,3180,0.37,726,412,112,279.91
2021-10-17,ffdd638e-c711-486e-a77c-e9952c6da51b,Walking,19.26,2475,0.47,832,8,62,8.8
2020-09-18,6980cf27-9bc4-4b76-a184-2f12c58ca21e,Walking,4.37,1586,0.17,756,95,120,30.77
2022-06-20,a3e3f134-34bc-427c-9d44-2d97bb381b11,Cycling,13.23,63,13.23,735,10,134,0.11
2022-03-07,11a9e7a7-2e0e-4c96-b2e6-3fb66f20d46c,Walking,12.52,1466,0.52,598,387,94,118.55
2021-04-02,3182c882-b288-4dd3-8187-a47f5419ba87,Walking,2.55,1662,0.09,1462,293,140,173.39
2021-07-23,c1a913e7-8d70-4980-9e27-58a38ca5671a,Walking,15.68,129,7.84,1160,195,129,7.01
2021-05-15,92fad8de-4e2f-42a7-83cb-967e514e7c40,Walking,20.66,1742,0.71,1187,117,101,80.02
2020-08-03,e4774044-0ea5-4977-b635-fb6bcf704925,Running,25.19,1737,0.9,1495,145,68,178.45
2022-09-03,ca2ee2b9-c7dd-42c0-ace7-cee58e66be50,Walking,23.57,1287,1.12,652,210,118,48.84
2022-02-23,d21f23a0-8eec-45b1-995d-89568376972e,Running,2.73,2052,0.08,1106,31,108,21.67
2022-04-27,19fdc0a3-4c57-423c-af70-db241566c8e5,Running,22.76,3543,0.39,1412,33,138,39.41
2022-09-01,6d9a8acb-da3c-413c-846a-2ec36cd70567,Walking,10.88,538,1.36,1140,158,109,26.44
2022-02-21,cb52fd5b-5a7f-4a1d-b0a7-6ed74a622dc9,Running,4.91,2819,0.11,1341,428,149,343.88
