Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
22.64,1.42,656,26,99,5.49
20.79,0.38,1445,2,94,3.36
25.86,0.89,592,320,89,123.69
23.33,0.44,589,280,76,230.12
13.1,0.77,1406,253,69,175.42
22.34,0.4,1307,241,105,335.09
21.33,0.97,1166,455,145,160.91
18.6,1.33,1076,129,91,42.66
21.26,1.33,1254,168,113,59.6
18.36,0.34,922,243,84,288.06
3.83,0.77,1439,69,68,14.53
10.46,0.4,1066,230,79,162.32
22.05,4.41,1229,181,78,28.52
6.58,0.37,849,133,99,40.57
23.92,0.72,1036,488,62,541.81
2.28,0.18,1147,428,81,153.54
2.05,0.06,806,122,77,87.26
23.46,1.68,535,57,64,13.31
23.87,1.14,1148,396,62,307.06
29.44,1.73,1296,52,69,33.24
11.86,0.38,612,158,88,68.59
27.51,6.88,1399,318,113,31.48
29.15,0.97,1438,42,83,43.73
7.84,0.26,850,476,149,163.76
26.97,0.54,592,374,142,155.75
17.88,0.39,1078,214,103,205.37
6.96,0.17,602,73,102,35.28
4.22,0.18,1367,491,63,499.55
22.32,1.49,1480,250,143,77.52
9.72,1.39,640,456,107,38.15
6.21,0.44,660,384,121,59.12
29.6,0.6,600,87,70,73.58
17.62,0.37,1272,391,68,696.61
21.09,0.75,1174,429,133,212.97
6.95,0.43,1084,454,134,118.72
20.48,0.79,631,1,140,0.23
14.94,1.0,1120,192,95,67.64
5.73,0.13,1380,67,100,81.51
12.95,0.26,547,363,84,235.47
16.03,0.84,1254,154,139,53.03
6.72,0.27,1215,42,139,18.27
22.5,0.49,547,350,63,279.08
19.3,1.48,566,71,114,9.19
4.88,0.14,1457,406,130,317.22
26.29,2.19,995,106,102,24.83
13.89,1.54,566,406,92,45.06
21.03,0.88,937,421,125,150.83
6.07,0.4,1089,455,112,134.27
21.37,1.94,1250,282,140,55.47
