Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
18.76,6.25,1223,367,93,71.81
2.25,0.32,540,146,129,19.16
26.34,1.15,713,91,105,67.95
14.15,0.24,802,436,141,636.95
5.22,0.26,569,276,135,102.22
18.03,0.43,580,357,80,473.77
26.33,0.66,935,125,119,184.18
17.46,0.65,859,159,139,125.05
28.48,7.12,1439,379,89,121.6
29.64,0.53,654,215,117,310.97
25.36,0.79,993,289,80,533.56
25.97,1.86,906,270,97,171.31
29.52,0.62,1453,2,89,7.13
23.39,3.34,972,171,118,48.7
26.31,5.26,679,35,127,4.65
21.04,0.91,1335,378,107,518.58
12.53,0.57,926,63,97,60.62
7.99,0.14,1212,82,67,276.11
4.77,0.1,1285,390,110,747.03
8.32,0.17,548,362,114,338.49
8.46,0.26,682,369,148,244.83
14.05,0.3,769,11,141,12.56
23.04,2.88,1478,268,116,134.57
7.06,0.5,881,419,148,164.94
8.71,0.19,1015,66,102,119.66
13.25,0.27,1203,247,64,883.55
15.9,0.5,785,214,124,199.33
28.01,0.78,1127,470,140,649.59
18.83,0.36,901,500,66,1474.78
26.74,1.91,888,112,143,47.81
29.16,0.62,1405,333,78,1278.39
25.89,1.0,767,479,145,317.06
9.84,0.62,555,120,131,38.0
23.68,0.88,1394,115,75,267.33
20.66,20.66,767,383,123,11.92
29.24,0.81,1362,119,64,416.89
22.59,0.45,1463,197,83,768.68
18.0,0.95,1441,255,132,253.61
12.51,0.29,927,278,114,423.53
15.46,0.91,1390,382,78,540.2
11.27,2.82,762,462,146,47.6
26.25,0.5,648,160,95,259.2
20.41,0.44,1044,79,72,229.46
8.26,0.16,1110,86,128,154.73
7.85,0.17,1390,100,78,298.78
18.7,0.85,901,189,81,215.6
24.22,0.53,1231,498,116,1116.71
4.81,0.11,808,186,124,193.91
18.6,1.24,615,319,89,158.16
9.26,0.18,1194,381,63,1289.02
14.76,0.78,1104,40,76,50.7
12.48,0.78,1227,198,147,126.69
6.45,0.17,1282,485,99,918.56
28.89,0.67,671,482,74,855.96
12.5,1.79,1100,471,63,274.95
5.47,0.21,669,94,109,61.67
8.04,1.34,1060,44,118,11.49
9.26,0.77,1216,129,75,115.74
13.71,0.98,705,260,72,166.29
19.05,0.54,1496,260,118,539.12
23.07,23.07,1442,115,69,11.98
21.62,0.37,713,102,105,179.29
24.08,1.2,855,339,142,198.96
18.67,0.36,1227,180,65,725.96
9.91,4.96,597,287,70,24.11
23.09,0.56,928,292,74,673.65
21.09,10.55,1411,370,66,78.5
17.99,3.6,934,303,76,91.37
17.55,0.36,523,186,60,320.91
12.6,0.24,1339,103,83,348.67
18.2,18.2,1318,294,66,29.23
6.85,0.13,616,173,111,187.85
8.11,0.2,865,388,98,553.23
24.08,0.69,877,438,77,795.61
25.96,0.45,1171,242,100,735.66
3.69,0.22,888,415,127,206.41
21.58,0.63,1008,281,149,309.12
5.74,1.15,521,452,124,45.79
14.46,0.41,967,180,110,251.19
27.31,0.47,1101,387,109,1034.72
16.42,0.29,669,234,77,470.27
3.7,0.28,1311,418,97,315.24
28.71,2.61,860,25,113,10.29
16.89,2.41,1387,281,126,106.64
18.57,0.71,1478,396,85,831.58
22.17,0.67,698,287,132,237.65
4.35,0.08,637,153,144,128.32
16.02,0.29,999,40,76,118.37
29.72,2.97,899,307,93,145.84
2.64,0.17,648,27,96,10.83
13.4,0.32,1213,462,96,1051.15
16.37,0.71,622,74,116,43.12
8.63,2.16,1413,227,123,51.13
16.27,16.27,911,128,124,4.69
22.92,2.29,779,400,73,207.41
5.63,0.23,1470,79,112,106.28
14.03,4.68,1050,420,68,95.71
7.67,0.2,561,453,107,369.17
6.85,0.86,1340,382,63,296.25
6.73,0.19,1054,51,148,54.61
18.84,0.38,1376,397,108,1117.7
15.73,0.35,800,467,150,511.02
23.9,1.14,1436,417,133,456.89
5.86,0.34,583,375,149,115.09
14.78,0.29,606,261,148,243.92
22.48,0.54,1341,171,97,449.19
3.8,0.15,840,149,72,150.51
28.4,0.57,976,39,137,65.05
15.28,1.91,629,383,113,83.35
26.39,2.2,1049,86,115,46.14
22.74,2.53,1158,203,70,146.78
4.09,0.27,650,379,150,110.72
9.59,0.25,1014,118,117,167.51
15.4,0.33,605,455,145,401.06
25.84,0.65,764,448,97,649.84
21.68,0.66,697,39,87,47.21
7.22,0.18,1091,28,123,40.63
22.36,1.32,668,44,125,19.33
25.25,0.55,891,321,146,423.32
29.19,1.82,1186,11,116,8.81
20.06,1.0,1459,347,137,357.6
6.96,0.26,1130,233,120,253.11
6.34,0.23,1310,383,101,563.4
21.04,0.84,784,468,116,376.8
3.4,0.09,1184,389,134,458.96
10.66,5.33,1256,211,135,19.5
26.96,2.45,1004,293,74,212.85
3.29,0.11,731,263,75,238.68
4.95,0.11,866,168,88,245.29
6.32,0.15,1357,237,119,444.76
29.24,2.44,1393,395,141,230.47
24.51,0.56,940,265,84,586.61
29.44,0.82,1431,283,132,526.42
24.41,1.06,694,425,99,327.44
12.76,1.16,1356,181,118,110.37
24.59,0.63,1037,74,144,98.57
19.84,0.99,621,292,97,178.05
29.98,0.97,1069,6,119,7.98
12.82,0.67,544,302,105,139.76
25.88,0.48,975,285,121,570.02
22.02,0.41,704,415,90,767.7
25.9,0.5,919,190,138,305.57
18.02,1.0,1273,418,127,363.21
16.28,1.48,1151,175,110,97.71
24.92,0.46,1075,269,63,1060.37
26.12,1.14,963,480,81,620.18
5.51,0.16,1253,319,113,477.12
10.49,1.17,1352,255,76,192.53
12.5,0.23,558,282,73,451.34
29.16,2.08,1040,218,132,118.24
12.6,0.42,1293,60,62,157.46
17.73,1.11,1379,155,100,163.35
15.02,0.34,858,320,131,416.22
2.99,1.0,1301,350,81,79.16
17.55,0.49,1092,91,62,246.46
16.48,0.87,771,351,92,262.22
7.99,0.19,1461,267,89,711.27
11.45,0.46,1332,387,99,583.92
12.33,0.34,824,287,125,306.94
12.4,2.07,1070,120,126,29.95
6.81,0.19,827,447,137,405.65
20.43,0.89,1291,412,149,394.83
17.76,0.89,1416,422,129,442.89
28.96,1.81,1474,218,92,271.27
26.75,0.61,762,246,111,344.82
6.59,0.24,620,348,118,213.36
17.88,0.62,741,481,138,351.86
12.2,0.22,1487,460,64,2186.86
14.73,0.74,683,262,122,138.32
21.85,3.12,995,86,92,32.01
27.22,1.81,828,320,140,139.56
12.3,2.05,979,443,129,98.99
5.61,0.15,709,147,92,155.5
28.6,0.58,1372,274,119,726.26
21.64,0.7,1106,200,111,289.41
17.12,0.55,507,331,73,318.16
3.59,0.36,1225,377,110,185.87
15.59,0.36,1020,13,80,30.58
17.45,0.3,809,136,139,205.56
10.07,0.48,770,308,110,206.59
9.68,0.88,1032,90,92,52.3
20.71,0.94,1331,80,70,155.73
28.02,0.78,1334,2,73,6.03
14.06,0.83,832,452,91,328.29
25.08,0.58,1034,229,87,535.39
21.71,0.94,1327,346,125,406.86
12.51,1.56,1052,70,67,42.06
7.61,0.45,1287,240,88,263.52
20.2,2.53,893,293,96,106.61
7.3,0.2,982,169,145,178.16
17.42,0.53,649,430,102,411.56
9.16,0.18,852,190,106,307.89
18.31,0.48,934,185,101,295.79
17.09,0.33,1296,294,92,920.77
25.09,0.46,513,71,122,74.76
2.69,0.05,734,39,71,45.03
12.33,0.69,555,302,135,105.28
3.88,1.94,1099,456,131,37.52
7.73,0.26,1427,78,97,142.36
3.96,0.12,1103,151,104,188.66
26.64,2.22,832,211,67,152.1
26.45,1.06,1224,163,141,170.82
22.8,0.41,881,63,126,111.67
29.24,0.52,1194,404,99,1248.64
6.33,6.33,1466,62,86,5.24
25.53,0.95,1160,54,145,56.01
27.07,0.55,504,284,89,359.1
23.77,0.43,769,94,98,182.25
27.12,1.04,1032,233,116,259.52
5.98,0.14,1406,151,88,366.51
13.71,0.3,647,290,132,288.39
17.02,1.42,849,214,115,91.87
21.66,2.41,920,436,109,162.28
21.3,0.51,805,497,103,740.64
23.71,1.03,1115,330,74,537.07
17.72,0.93,685,413,118,218.45
24.09,0.59,1006,93,68,249.76
19.61,0.35,1363,423,98,1438.44
20.34,0.85,854,389,76,485.42
4.13,0.09,1472,284,92,650.05
24.25,1.87,755,320,100,152.57
25.4,1.41,846,373,124,222.84
18.24,0.42,699,261,64,521.91
15.11,0.54,734,240,143,161.87
15.01,2.5,1204,38,127,10.65
18.08,0.82,1461,9,118,11.68
3.84,0.07,1017,366,75,697.24
7.46,0.15,663,179,102,218.06
6.74,0.29,519,312,119,138.12
13.84,0.36,901,61,123,77.18
15.06,0.68,948,496,71,664.54
15.64,15.64,615,351,79,13.61
20.08,10.04,1270,20,106,2.39
13.94,0.25,916,384,73,1054.48
18.02,0.6,1368,20,146,26.62
25.04,6.26,539,409,84,51.99
3.22,1.61,704,219,139,10.85
9.22,0.42,1156,407,81,555.86
22.52,1.13,1439,357,80,606.34
18.95,0.41,691,303,139,320.02
24.0,6.0,894,486,142,60.84
7.58,0.16,1120,389,107,746.49
16.27,0.49,1369,40,88,92.58
10.77,0.35,917,151,143,135.45
20.47,0.49,534,328,79,410.13
5.69,0.1,832,326,69,648.45
15.96,0.5,788,352,83,476.01
28.24,2.17,1065,411,102,273.06
17.86,17.86,647,28,133,0.68
28.44,0.5,1155,114,73,451.17
21.25,0.39,1085,360,71,1269.54
10.26,0.26,691,229,61,389.15
28.12,1.41,779,389,104,280.97
9.08,1.14,665,446,77,145.13
27.95,0.65,1053,382,62,1240.92
21.04,1.11,906,82,103,65.5
9.1,1.01,944,84,105,32.49
18.42,1.42,1484,288,89,299.61
9.17,0.16,1496,254,130,675.28
21.37,2.14,1439,133,60,153.3
28.37,0.77,1131,236,66,678.29
17.84,0.36,926,146,148,206.92
7.41,0.93,723,411,116,97.53
29.45,0.92,1241,361,85,792.89
4.72,0.52,620,6,65,2.26
20.91,0.55,1143,300,66,868.04
26.52,0.91,1250,426,98,749.73
7.79,0.13,1109,1,91,2.57
16.68,2.38,1002,176,62,96.41
19.93,0.43,1192,359,144,637.22
5.62,0.4,1458,62,69,77.92
23.6,0.98,960,410,69,639.56
29.27,0.81,581,302,141,215.41
20.27,0.49,995,244,139,336.56
18.25,0.76,1193,448,98,613.61
12.07,0.31,645,158,137,129.56
11.14,0.37,680,311,63,416.09
9.01,4.51,1357,100,69,19.33
19.36,0.67,823,405,95,469.99
25.46,0.53,1469,398,78,1606.12
15.3,0.55,1301,142,125,191.63
6.67,1.67,1084,11,108,2.15
2.13,0.13,1384,252,91,220.7
11.02,0.73,1042,345,95,266.41
13.85,0.29,936,500,84,1103.85
29.97,29.97,1179,283,77,21.62
8.59,2.15,866,197,62,52.98
11.98,0.24,1076,180,136,308.22
11.8,0.23,793,467,91,842.64
23.69,0.4,1365,97,105,333.69
9.61,1.37,528,411,83,87.84
20.1,0.35,1005,331,104,807.53
12.85,0.41,1347,368,110,635.7
4.15,0.59,1223,261,60,163.95
16.99,0.89,746,147,71,136.62
23.46,0.98,721,485,136,296.63
12.76,0.53,1406,93,76,184.24
16.12,0.4,602,339,121,308.03
15.32,0.81,731,147,122,79.28
23.56,0.55,771,494,148,519.29
7.34,0.56,1342,39,111,28.6
24.96,0.78,1422,333,73,954.09
3.61,0.08,598,467,68,482.83
27.92,0.66,1356,397,101,1048.72
5.3,0.16,1221,345,76,650.52
8.25,0.16,948,27,118,44.21
25.73,0.7,559,408,102,384.05
2.23,0.05,1195,47,60,78.28
11.67,1.06,1243,263,134,129.73
28.7,0.49,818,297,110,591.9
28.34,0.55,1264,320,113,853.53
11.64,0.3,1370,248,147,402.73
18.58,1.43,1024,23,127,11.72
20.1,1.18,910,134,76,129.44
18.04,0.41,587,369,127,342.34
20.8,2.97,1170,194,81,96.13
19.48,0.65,1437,118,95,247.43
10.11,0.46,894,121,91,116.69
16.11,0.38,1231,215,93,528.48
5.29,0.33,1403,132,74,166.5
20.78,0.38,1237,37,74,143.58
14.41,0.48,656,98,97,89.84
9.71,0.31,1320,187,120,283.98
3.82,0.14,1246,256,117,284.96
24.98,0.56,862,64,130,88.57
11.46,0.31,602,423,118,350.92
4.59,0.21,1002,26,141,17.28
25.18,1.05,935,21,114,19.82
21.4,2.38,661,343,63,156.57
18.12,18.12,865,78,125,2.69
29.05,1.08,539,395,138,200.76
6.45,0.13,1457,240,133,505.93
28.21,1.88,1138,406,127,267.35
19.27,0.52,1346,332,133,580.58
8.22,0.91,1103,247,129,91.49
13.0,0.32,1336,326,91,829.71
18.66,0.57,735,406,63,680.56
22.77,1.2,866,439,123,283.64
14.78,0.64,681,398,116,252.77
10.0,0.22,742,406,70,738.36
19.64,4.91,1489,410,101,119.68
4.6,0.15,1484,51,72,110.17
28.62,0.75,908,221,109,331.02
25.25,0.65,1044,264,83,590.27
10.08,0.21,1041,303,96,631.85
27.75,0.56,976,97,101,213.38
26.44,0.51,1367,407,119,1119.68
10.82,5.41,949,71,132,5.07
13.82,0.28,1494,355,106,1056.76
23.5,0.53,500,114,116,100.74
28.97,2.23,1322,234,65,298.83
28.68,0.59,1331,116,113,308.92
8.63,0.24,736,294,61,475.41
12.07,6.04,569,204,117,9.84
5.15,0.14,590,33,144,19.93
18.19,0.31,1424,62,116,196.04
17.96,17.96,1163,421,70,34.83
7.0,0.14,927,484,70,1061.04
28.13,0.57,1257,16,132,35.25
19.1,0.35,718,208,104,344.5
2.52,0.05,1094,368,93,525.66
16.18,0.4,928,491,106,777.68
5.42,0.11,616,29,130,25.08
4.49,0.2,1332,379,138,347.65
24.43,0.7,996,134,76,280.11
28.78,0.59,699,15,133,18.08
27.77,1.98,982,248,79,209.48
29.27,0.5,926,226,78,696.08
29.48,0.52,692,143,83,302.87
10.31,0.31,923,209,63,405.4
19.18,0.71,1020,101,128,103.04
17.17,0.46,1342,306,141,504.64
4.27,0.16,995,237,82,277.85
25.27,0.45,1386,295,146,730.7
6.9,0.27,1313,422,147,427.75
9.68,1.94,1375,177,143,41.71
6.57,0.18,1155,252,61,598.33
23.13,1.54,993,238,149,116.57
25.4,0.43,903,78,92,200.74
15.23,0.32,1199,16,136,30.11
13.38,0.36,538,196,74,222.96
16.99,0.61,761,184,96,187.15
28.13,5.63,741,412,119,63.62
7.56,0.19,1413,270,135,470.51
25.42,0.45,1154,298,74,1141.22
16.26,0.32,737,303,80,593.31
4.5,0.21,1359,72,104,82.03
26.09,0.79,602,245,142,164.19
20.29,0.97,737,184,146,93.83
18.48,0.8,1445,332,105,498.07
6.0,0.38,1488,409,117,369.14
13.97,0.26,771,130,91,244.28
7.8,0.15,1329,397,140,791.42
8.93,0.3,1191,490,139,557.97
12.53,0.31,920,153,60,373.67
19.21,1.92,617,198,146,41.13
29.02,1.32,1397,100,100,147.96
2.28,0.06,935,493,91,502.38
28.62,1.68,797,294,108,179.85
9.77,0.7,1325,233,72,272.22
14.03,0.32,914,74,68,177.3
8.06,0.18,624,178,79,232.89
8.17,0.22,1096,168,122,236.23
24.39,0.44,622,358,145,394.7
21.15,0.46,759,68,123,88.63
10.5,0.29,915,131,107,174.66
25.06,0.48,1151,113,125,250.72
12.63,2.53,943,90,102,20.37
5.25,0.4,1094,308,63,292.88
15.51,0.29,1110,64,77,201.58
13.01,1.0,1257,208,91,177.16
19.58,0.36,1262,70,149,147.48
28.18,0.81,601,72,82,85.37
16.83,0.29,1400,87,90,329.56
6.99,0.13,566,393,141,333.23
19.52,1.03,695,14,65,13.2
6.27,0.45,693,79,110,31.49
6.73,0.21,562,6,108,4.1
15.16,0.41,1192,128,71,339.06
13.45,0.26,1274,425,124,977.78
24.15,1.05,1122,18,141,15.93
2.33,0.26,1229,357,135,127.47
29.45,5.89,566,308,91,47.45
9.8,0.41,938,184,117,159.66
14.7,0.45,823,14,137,12.71
25.88,1.36,1360,281,65,529.46
7.75,0.34,611,474,127,232.93
14.99,0.65,693,407,134,229.53
18.86,0.47,567,124,95,133.54
10.63,0.71,709,150,68,106.09
23.07,23.07,819,155,117,5.41
3.39,0.07,1236,42,84,80.87
21.95,0.46,1352,293,98,868.13
9.73,0.3,684,394,125,308.49
5.69,0.13,720,266,127,253.31
13.15,0.42,899,69,61,133.2
3.49,0.15,1305,322,148,269.58
12.93,1.18,688,237,61,136.94
13.82,0.26,1498,352,111,1076.08
8.21,0.41,920,390,81,385.47
15.1,0.42,1323,393,131,654.04
8.86,0.21,913,24,133,29.48
2.2,0.05,1312,81,92,121.77
15.94,1.33,639,285,95,110.5
26.07,0.9,787,148,138,117.51
24.09,0.51,884,271,129,407.62
19.19,0.91,660,244,66,237.5
27.92,1.16,1102,244,123,254.18
27.41,3.43,782,20,71,8.62
14.88,0.37,987,425,103,723.94
24.19,2.02,988,320,146,127.5
11.73,0.43,1295,395,62,947.6
4.0,0.67,599,180,126,24.12
15.81,15.81,595,240,73,9.74
9.72,0.22,571,363,110,344.98
26.66,1.9,1218,484,122,331.85
11.85,0.24,997,259,119,455.89
22.32,0.38,631,93,150,105.63
20.02,2.0,1114,128,129,54.27
23.22,0.5,576,54,112,59.2
8.18,0.31,903,369,135,290.89
10.05,0.4,1063,39,65,67.2
10.34,0.38,1151,321,126,361.23
28.92,4.82,912,245,70,94.36
8.78,0.73,1357,195,85,173.25
3.69,0.17,852,301,119,187.54
24.68,1.54,742,340,69,279.81
26.13,0.46,756,449,108,811.05
5.86,0.11,1178,244,149,393.72
17.27,0.35,1473,328,60,1604.6
26.13,1.09,1437,6,90,10.93
4.51,0.09,1198,37,148,54.56
28.28,0.91,1311,244,80,581.38
13.5,1.5,1080,87,102,40.14
2.19,0.05,1293,209,149,237.68
20.97,0.7,1291,88,78,199.86
4.15,2.08,1161,375,117,36.37
8.07,0.47,799,313,140,142.53
28.32,1.13,737,149,144,92.71
15.46,0.59,1178,418,116,518.28
5.23,0.4,953,113,69,86.38
17.51,2.92,584,296,148,34.62
21.67,1.2,1292,244,77,350.69
13.08,0.23,1059,324,142,595.85
12.24,0.33,1037,106,68,245.16
10.53,0.2,1459,137,78,510.87
24.11,2.68,968,364,132,118.4
13.13,0.82,1023,40,147,21.4
28.89,0.8,783,221,150,199.97
20.57,0.37,770,88,90,181.96
16.44,0.42,1076,50,78,117.12
21.99,0.45,1291,371,104,1016.64
23.11,0.39,1395,400,120,1244.73
28.19,2.82,827,494,89,224.95
22.77,1.04,819,362,103,301.05
8.93,0.21,936,212,73,435.81
28.47,0.49,1296,389,64,1973.73
14.22,0.47,582,153,136,91.86
9.32,0.17,748,191,127,250.38
21.11,0.78,1255,173,97,284.11
21.94,2.19,931,324,125,118.71
14.27,0.49,572,7,103,5.15
3.02,0.08,916,437,120,414.0
11.68,0.9,789,239,80,143.02
24.27,0.59,1105,442,130,725.44
18.36,6.12,1455,300,122,53.31
5.88,0.49,1232,19,136,9.61
25.97,0.93,706,121,141,81.49
13.12,3.28,962,379,82,87.3
2.3,0.05,884,216,120,199.62
15.47,0.81,1349,416,63,774.72
18.99,0.51,1378,489,112,1029.96
27.09,2.08,1012,309,116,171.98
27.88,2.53,1190,149,121,79.44
13.77,0.25,1036,184,125,362.05
12.4,1.24,553,36,82,11.57
21.95,2.44,1252,437,86,279.5
19.95,0.59,1213,139,71,358.68
10.32,0.18,1461,398,135,1024.04
14.9,0.83,922,143,121,93.17
17.17,1.23,996,430,73,387.89
13.48,0.28,1216,347,143,631.43
21.29,21.29,1065,274,97,15.01
29.23,0.5,589,457,74,936.66
18.33,4.58,768,479,70,103.55
27.43,0.51,1196,308,149,623.8
4.88,0.16,1301,442,113,607.93
17.28,0.38,639,144,88,206.82
14.71,0.35,1305,126,78,374.42
29.17,0.49,1280,215,139,549.01
10.82,0.4,1077,111,90,157.74
24.1,0.86,1221,244,98,402.1
15.41,0.47,906,344,71,625.85
2.47,0.06,1327,270,121,360.92
23.77,2.16,1414,121,94,97.74
24.31,0.43,607,269,122,345.41
29.85,1.99,813,390,73,314.92
16.97,0.46,722,61,135,55.69
27.29,0.55,1357,316,116,850.46
12.82,0.36,1121,199,149,243.85
13.71,0.29,937,449,84,982.28
5.77,0.41,1281,59,108,44.25
3.87,0.22,1380,316,104,302.66
20.2,0.34,1416,38,73,182.25
28.73,0.99,508,209,134,110.79
21.12,0.73,871,309,68,520.15
14.01,0.41,1119,116,150,136.73
22.25,0.72,785,223,86,291.02
27.3,0.51,694,175,78,370.21
25.54,6.39,630,93,67,17.27
19.71,1.64,1040,377,73,309.81
25.0,0.49,787,326,124,487.69
18.74,0.48,580,482,121,415.26
6.85,1.71,992,164,79,39.77
9.12,0.28,782,150,136,124.16
10.84,0.23,622,419,120,433.3
28.85,0.72,1286,457,150,750.23
7.24,0.8,959,390,69,224.9
28.17,0.78,1369,409,67,1377.31
17.85,0.36,952,393,118,703.28
4.47,0.3,536,481,97,168.98
27.66,1.32,1439,176,142,182.01
28.81,1.6,1466,374,85,560.14
14.25,0.51,1439,225,66,596.71
22.69,0.69,1137,286,123,410.5
21.07,1.05,576,299,79,206.3
8.92,0.33,1062,445,82,657.44
23.72,0.43,1163,97,123,231.12
21.26,0.46,1130,337,141,579.45
13.8,0.29,863,486,127,691.84
11.62,0.89,922,283,140,116.97
4.34,0.31,961,396,93,244.1
4.71,0.52,1297,331,132,137.29
27.54,0.6,1332,491,119,1178.76
8.46,0.34,1270,139,63,282.64
27.16,0.85,902,311,62,660.22
10.04,0.35,1443,310,114,500.13
9.62,0.27,1386,360,98,762.87
7.35,0.33,772,306,61,345.46
2.63,0.33,1292,357,72,210.9
17.92,5.97,914,379,70,73.39
7.43,0.21,1289,29,114,47.99
16.39,0.53,553,302,129,186.54
9.21,0.19,833,205,106,312.8
21.69,0.72,1136,222,121,296.9
16.29,1.48,734,328,80,158.91
26.65,0.65,822,370,121,484.48
26.2,0.6,810,153,87,283.83
16.05,0.28,880,393,102,826.99
22.49,0.56,640,430,103,493.72
13.08,0.28,818,292,132,372.29
26.94,0.66,1004,151,62,444.71
3.62,0.07,1027,184,64,360.79
17.24,1.44,1397,59,67,70.01
24.12,4.82,1056,168,61,71.55
