Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
8.11,0.21,521,407,65,251.97
11.4,0.22,1451,271,135,301.87
15.48,0.37,924,29,120,18.68
15.22,0.76,767,283,66,131.73
19.27,1.13,619,369,74,105.27
26.5,3.31,1248,181,119,30.39
4.78,0.08,779,79,104,70.71
8.94,0.16,1329,476,106,666.92
14.23,0.89,690,401,84,105.33
28.7,0.68,704,488,63,460.31
16.15,0.73,702,263,70,116.7
29.2,1.27,1054,36,82,21.28
14.0,0.27,824,6,144,3.56
11.52,0.43,1352,17,102,12.07
14.15,2.02,627,129,143,7.92
7.6,0.25,914,23,106,12.06
6.99,1.75,1390,229,145,17.54
29.12,1.21,1492,497,90,396.57
22.27,0.6,895,67,105,42.39
26.57,0.65,1485,262,72,441.78
10.4,0.27,589,317,104,138.31
8.52,0.19,1043,268,91,275.48
3.36,0.06,653,4,143,2.05
6.18,0.62,614,35,114,3.76
17.48,1.94,630,93,61,17.31
10.94,1.09,1140,151,70,49.36
21.93,0.53,1278,196,145,142.96
20.33,0.35,1298,267,148,272.03
11.02,0.28,1076,198,93,180.32
5.32,0.09,848,213,86,248.3
25.6,1.07,1003,114,90,60.79
3.32,0.06,1410,247,112,344.12
20.46,0.51,888,113,144,55.91
24.15,0.89,1146,173,146,73.69
5.88,0.19,662,18,110,6.7
28.61,0.56,1175,273,124,264.33
21.95,0.76,661,291,85,130.72
11.91,1.7,958,475,125,51.01
25.3,0.44,865,159,90,175.74
7.83,0.15,778,131,83,128.2
15.5,0.44,1005,411,71,409.88
26.16,0.75,1335,7,133,4.9
20.1,0.69,1177,347,81,293.76
27.52,1.02,809,278,121,100.3
3.71,0.29,1223,85,126,21.11
5.99,0.19,850,481,71,363.09
17.25,0.41,869,100,109,67.09
13.86,13.86,1408,432,111,10.96
28.1,0.83,1208,164,145,92.51
18.8,0.45,690,488,97,290.05
13.72,0.35,545,405,90,192.28
11.29,0.31,582,147,106,58.79
25.15,1.32,1412,390,123,170.6
24.22,12.11,655,332,74,11.75
23.51,0.65,1165,158,68,195.81
5.3,0.13,1070,281,111,220.87
24.48,0.6,734,3,99,1.81
9.09,0.32,1434,134,90,121.3
23.82,0.7,522,123,105,41.62
5.52,0.11,1082,23,122,20.47
18.66,0.67,1389,23,66,26.96
15.51,0.53,514,272,87,94.05
25.22,0.9,884,347,146,117.75
3.57,0.6,1320,281,80,55.17
29.55,0.82,1206,156,147,92.24
27.7,3.46,1265,321,122,53.29
24.98,0.54,858,329,133,196.36
10.19,0.19,1101,61,88,81.86
22.83,0.59,1333,175,69,261.64
18.97,1.19,841,254,103,66.12
13.5,1.5,1161,34,77,9.23
17.86,1.12,974,50,121,12.84
5.32,0.15,575,455,138,134.48
21.83,10.92,788,339,111,9.62
17.75,0.99,970,398,118,117.32
8.24,0.69,539,377,82,59.19
21.49,1.26,901,71,118,18.49
10.94,2.74,1028,119,100,9.77
12.75,0.25,982,230,81,284.42
21.41,0.89,715,334,103,111.55
14.1,2.82,634,366,71,32.68
13.65,4.55,1035,479,144,20.66
5.97,0.25,809,456,84,209.75
21.41,1.13,819,240,118,63.12
28.28,0.67,997,406,131,260.85
6.53,0.21,1306,429,64,544.43
5.7,0.14,1358,79,85,102.77
17.75,0.41,815,225,125,127.02
3.0,0.08,772,162,60,156.33
23.72,0.7,1396,407,78,493.66
10.83,0.35,1424,485,83,514.95
4.69,0.28,730,170,65,63.96
24.02,2.4,1132,410,143,64.97
21.78,0.39,1206,137,113,163.31
20.59,6.86,1212,426,134,23.13
5.45,0.13,1400,249,141,207.3
9.51,0.41,506,381,101,88.55
5.45,0.36,1064,451,143,101.6
5.18,0.1,1123,314,96,380.54
23.38,0.4,547,284,97,187.22
25.58,0.83,504,398,107,115.55
13.02,0.28,1145,78,71,116.98
28.29,1.66,712,279,69,98.13
19.03,0.73,571,157,132,35.41
24.29,1.52,759,384,131,71.11
22.23,0.64,504,66,80,28.89
26.65,3.33,941,270,78,52.14
20.85,6.95,1258,254,87,22.04
20.81,0.5,1048,48,115,36.41
2.17,0.14,1420,196,129,66.88
15.87,0.44,533,340,123,106.28
6.07,0.15,866,62,80,54.32
21.1,0.78,748,185,95,78.81
26.47,0.49,957,389,87,462.31
8.51,0.16,528,465,78,334.84
19.68,0.73,869,119,100,55.76
18.21,1.52,1349,414,124,107.92
24.41,0.7,1101,277,127,167.48
13.07,2.61,1286,381,99,49.57
12.52,0.25,1478,343,73,695.57
12.03,0.46,1274,330,87,252.76
17.19,1.43,1122,448,136,88.86
9.87,0.99,896,486,142,61.15
26.62,0.49,936,147,97,154.12
14.68,0.82,1464,448,145,161.95
22.19,1.85,1401,97,61,53.44
28.41,0.98,1189,473,138,236.29
13.14,0.49,891,379,127,142.61
21.89,0.37,573,55,109,34.21
9.44,0.26,1315,140,128,104.44
3.64,0.07,589,497,101,301.43
29.67,3.3,716,152,149,13.13
9.52,0.35,1449,476,115,326.27
19.37,0.37,844,63,84,66.28
20.97,1.4,726,409,149,59.7
29.3,1.4,1431,167,143,69.95
25.3,1.81,944,425,83,135.13
17.16,4.29,1154,138,136,9.37
18.03,0.32,1101,24,104,28.63
5.58,0.12,1418,122,133,120.97
22.11,0.47,781,95,65,107.39
29.86,4.27,582,251,109,18.74
3.53,0.07,1192,485,147,396.65
11.65,0.69,1200,471,142,134.41
23.15,0.55,1388,197,137,168.02
22.88,0.65,1010,392,85,327.91
5.86,0.14,767,150,95,101.38
8.07,0.14,903,305,136,233.47
16.29,0.3,563,103,130,48.44
2.95,0.08,1171,24,118,17.57
20.3,0.38,1109,273,78,414.71
27.02,1.23,1278,403,122,185.48
13.78,1.97,563,283,92,24.23
3.06,0.06,618,257,83,195.18
28.78,0.9,1027,362,101,235.42
25.6,0.51,654,48,129,24.43
7.82,0.13,1051,226,121,236.17
15.12,7.56,733,393,64,18.0
16.24,16.24,1233,375,146,6.33
29.76,0.5,1415,409,145,475.12
22.53,0.4,876,3,104,2.85
18.68,1.33,1246,99,88,39.38
24.09,8.03,819,332,130,12.55
19.15,1.47,1009,220,83,69.68
17.46,0.33,1388,426,148,422.76
17.87,8.94,645,406,119,8.8
24.58,1.37,912,485,110,144.29
14.54,0.3,536,392,121,168.32
18.42,0.32,1437,278,95,484.11
10.36,0.36,767,457,144,140.1
17.04,0.43,1327,159,95,176.03
2.67,0.12,815,463,118,142.3
27.49,0.81,1019,157,112,96.96
12.92,4.31,606,376,74,18.46
10.9,1.56,775,261,138,20.48
16.52,0.55,688,137,144,39.32
10.83,0.27,766,237,103,141.4
23.15,1.78,1041,467,110,114.96
22.71,1.51,1282,432,77,216.35
9.21,1.54,1323,194,123,24.96
29.58,4.93,794,141,115,11.68
26.22,0.85,1125,205,125,113.83
7.86,0.52,1466,413,86,212.83
26.54,1.47,1161,169,62,114.27
7.82,0.17,1379,331,92,456.45
16.11,0.62,844,359,149,105.68
11.34,0.49,1292,93,86,64.67
23.54,1.57,550,342,68,82.95
2.13,0.05,1342,357,116,351.89
7.15,0.13,600,396,108,242.0
22.74,3.25,576,21,122,1.39
14.31,0.84,1056,329,127,93.21
26.5,0.76,1292,85,141,54.32
14.35,0.28,1078,403,70,636.14
29.1,0.97,1208,122,109,81.12
6.39,0.16,1036,429,123,288.62
13.63,0.72,1480,90,80,63.04
21.91,0.53,1401,434,131,383.75
20.89,0.37,614,118,119,68.75
6.39,0.12,555,379,148,151.36
18.94,0.57,1395,448,112,370.83
29.43,0.52,904,313,103,310.95
28.76,0.96,850,127,136,47.56
22.5,0.94,1433,412,132,214.12
23.29,11.65,1359,22,142,0.84
2.31,0.05,1121,497,85,605.64
19.57,1.78,1446,255,70,115.83
8.19,0.48,962,248,105,77.54
27.27,0.91,742,469,148,140.93
6.26,0.37,841,364,68,152.33
2.56,0.28,913,390,83,78.45
3.94,0.09,835,52,142,26.77
2.83,0.17,933,210,143,45.62
26.74,0.53,1315,420,130,428.69
13.51,1.23,975,161,142,24.28
27.86,1.99,1344,217,104,78.52
27.74,2.13,666,154,77,34.69
10.78,0.51,1098,1,115,0.4
13.2,0.4,1258,194,82,196.43
27.19,13.6,761,270,148,5.55
7.82,0.16,1188,463,81,663.79
24.67,0.63,864,26,127,13.85
2.04,0.04,1095,271,95,318.61
8.26,0.22,1009,36,118,23.12
23.84,0.95,1463,464,87,391.61
4.04,0.07,1136,434,113,503.62
6.94,0.12,931,302,138,235.66
14.14,0.44,1387,480,76,563.03
6.74,0.18,980,335,62,396.55
14.96,2.99,1324,349,64,72.25
17.22,0.36,672,161,131,79.01
21.24,0.53,818,191,96,130.44
13.33,0.3,1141,207,81,259.13
17.44,1.74,1010,477,110,87.8
8.88,0.36,1280,198,140,89.31
21.07,0.47,634,150,136,62.7
8.65,0.72,602,103,124,12.02
3.92,0.18,860,300,109,103.09
7.96,0.14,1431,267,116,374.55
8.95,0.43,1251,490,118,216.25
5.04,0.24,992,234,68,143.37
25.64,0.57,1021,266,92,265.58
22.81,1.52,1083,237,76,101.36
21.98,0.58,1484,126,107,132.45
17.05,1.22,673,195,72,50.95
29.09,0.61,1123,459,115,427.5
14.59,0.35,1181,69,82,82.85
5.27,0.17,971,171,116,88.75
19.42,0.37,513,228,84,146.17
10.48,0.36,951,154,94,90.71
15.51,3.88,1455,347,69,58.5
29.56,1.29,737,197,122,54.54
6.1,0.11,748,230,139,137.27
25.62,1.07,563,344,110,84.31
19.77,3.95,785,113,106,8.38
4.15,0.1,1203,266,81,327.9
18.01,0.46,589,278,136,94.28
12.82,0.31,1147,253,149,161.08
9.64,0.31,668,470,94,207.73
16.45,0.3,597,387,140,180.98
25.32,1.58,1092,478,144,116.18
28.7,5.74,512,251,85,15.12
16.27,3.25,524,410,104,20.68
29.65,1.1,1087,64,136,27.58
25.86,5.17,769,258,101,19.65
5.0,0.18,1425,344,108,252.16
17.08,0.63,1165,441,83,335.63
5.11,0.51,630,84,117,9.06
11.4,0.46,1416,26,87,20.97
11.57,0.72,762,220,90,59.86
11.59,0.64,762,2,97,0.57
17.8,2.23,1394,309,85,80.9
20.9,0.48,1219,6,107,5.95
29.32,2.67,732,40,77,8.35
11.53,0.24,641,107,69,95.51
2.9,0.09,804,110,144,39.58
6.77,0.23,826,374,103,176.57
23.98,1.71,661,310,119,48.29
7.18,1.2,938,388,133,32.75
25.46,0.82,1282,169,98,137.29
9.72,0.23,1410,311,129,287.31
29.61,4.94,859,95,103,9.5
26.98,3.0,558,404,143,28.36
20.37,0.89,1355,25,98,15.82
28.56,1.79,1353,375,114,142.02
7.93,0.72,646,8,69,1.65
9.26,0.18,785,346,92,303.76
19.53,0.47,595,419,80,258.99
17.9,1.12,1408,64,94,30.64
8.58,0.24,1075,423,106,306.72
6.08,0.36,680,258,126,47.03
27.56,0.63,1409,245,149,202.7
16.38,1.49,643,72,113,9.01
11.31,1.89,675,338,60,45.51
24.76,0.45,1008,248,120,229.24
16.45,0.72,1230,400,73,307.97
20.96,0.43,1452,451,112,570.0
4.28,0.08,572,359,119,184.64
21.19,0.68,1449,394,119,299.0
23.13,4.63,1238,341,70,60.26
18.13,18.13,792,447,128,5.53
14.88,0.6,1108,37,145,14.02
5.21,0.13,669,56,92,32.64
23.2,0.64,1322,27,94,27.53
6.54,0.19,597,434,85,209.85
15.96,0.43,848,298,114,164.55
20.88,0.36,987,400,138,331.86
2.94,0.11,1151,372,106,215.92
14.81,2.12,1008,36,73,6.95
3.12,0.17,711,25,94,6.94
4.2,0.08,1042,109,72,165.63
25.01,2.78,1152,27,83,6.74
9.58,0.16,974,195,145,156.86
6.14,0.11,881,364,66,542.42
15.5,0.74,1099,438,85,237.24
17.17,1.56,1236,381,113,91.74
7.84,0.16,586,205,91,129.37
21.37,0.51,1283,51,128,42.84
18.39,0.35,542,383,129,169.1
27.81,0.68,1118,47,137,31.37
6.68,6.68,1218,86,79,2.65
2.56,0.09,1399,361,125,229.85
6.01,0.12,1092,137,99,151.37
19.97,1.66,979,104,110,22.27
19.41,0.51,787,146,131,66.76
16.14,0.81,1382,126,130,53.38
25.79,0.52,1431,230,68,480.11
26.66,0.49,897,246,63,381.14
22.78,0.58,1135,26,79,29.34
17.47,0.5,1292,153,130,106.26
25.14,2.51,735,296,79,55.17
4.91,0.08,1039,477,133,457.41
22.58,0.55,1363,28,104,30.13
29.91,0.61,1290,259,134,244.51
14.22,0.42,970,171,117,96.0
10.46,0.21,510,21,86,12.41
9.05,9.05,697,32,106,0.42
16.82,8.41,1406,112,123,5.12
11.31,1.13,1338,262,62,113.18
5.3,0.09,1197,376,68,779.54
7.9,0.27,1196,95,122,54.5
9.2,0.19,1120,208,111,203.25
4.42,0.29,953,66,62,30.92
17.7,0.77,1373,3,120,1.58
27.42,0.86,760,285,119,116.07
14.62,0.29,1390,280,70,560.6
28.11,4.69,1007,115,107,12.97
8.85,0.74,1087,7,100,1.82
25.4,0.71,798,153,82,106.53
12.61,0.53,1407,199,96,138.79
20.35,1.45,1089,58,87,20.38
7.22,0.48,985,172,109,46.76
4.51,0.21,702,261,143,55.03
9.89,0.2,821,319,83,312.07
13.83,4.61,1026,228,72,19.49
26.21,0.85,723,425,72,263.19
10.01,0.63,767,3,126,0.58
11.53,0.22,1409,264,149,261.68
21.58,21.58,1075,145,133,2.34
8.34,0.25,1195,197,99,158.66
5.98,0.26,527,196,135,35.2
19.29,1.02,1241,224,72,146.03
20.73,0.46,528,150,81,88.13
19.43,1.39,1055,360,88,120.66
28.7,1.06,1470,202,121,132.89
28.06,0.8,1198,308,78,331.85
15.63,0.6,1400,410,143,209.13
9.46,0.23,1094,343,119,259.39
6.69,0.2,885,399,102,231.6
2.91,0.58,599,248,125,11.93
26.69,0.48,1148,283,149,242.48
20.21,2.89,504,417,144,20.41
8.99,0.64,1113,316,101,97.83
7.44,0.21,539,223,135,63.09
11.85,0.99,1421,252,62,138.27
28.79,2.06,513,90,66,19.55
10.24,0.32,748,430,60,343.08
7.18,0.31,519,148,123,28.93
27.52,0.6,1500,18,83,29.84
14.88,0.26,627,337,78,310.07
6.62,0.21,1500,397,69,544.13
26.88,3.84,1177,376,118,52.51
28.11,0.48,527,158,62,157.3
22.56,1.88,1241,161,105,45.67
7.2,0.4,1063,78,62,48.14
17.42,0.48,1197,173,93,161.62
7.19,0.16,1275,280,93,345.0
29.74,0.8,1136,35,147,20.11
29.12,1.46,787,206,71,91.09
13.76,0.55,1144,216,75,164.86
28.45,0.61,698,132,142,60.52
25.55,0.67,1261,330,97,327.19
12.81,1.42,1341,383,102,90.85
16.09,2.01,549,144,116,10.91
14.96,0.62,1103,368,105,186.55
15.14,0.45,1234,293,82,296.7
23.93,0.42,628,483,114,303.2
5.13,0.12,780,189,99,127.32
28.34,4.72,1053,425,143,37.58
20.75,1.73,1079,380,113,87.04
7.09,0.2,904,226,69,209.93
23.82,1.13,1169,131,137,47.13
16.92,8.46,1056,245,79,13.1
9.71,0.46,1227,156,76,106.33
17.36,1.09,865,172,139,34.09
29.91,1.3,1179,141,86,88.95
9.11,0.91,1220,322,98,80.26
2.88,0.07,1491,230,120,235.15
8.22,0.18,1139,343,103,346.43
11.01,1.38,1308,324,66,102.46
12.75,0.98,796,85,82,21.47
26.37,5.27,1491,408,90,67.64
25.73,0.45,661,34,70,36.71
5.78,0.19,945,202,105,110.61
9.54,0.21,766,304,135,156.72
7.8,0.14,1155,133,129,132.69
11.48,1.15,1291,281,136,53.26
19.23,0.48,1474,217,127,201.8
27.3,0.46,864,246,67,376.54
25.31,0.59,771,361,98,243.67
10.32,0.19,1335,22,73,43.71
22.04,0.39,1055,358,78,547.29
29.24,0.89,700,342,114,137.99
12.14,0.47,643,310,130,79.21
6.63,0.17,1153,216,146,133.05
7.43,0.62,1255,312,66,142.19
22.81,0.54,812,484,147,225.86
17.86,0.71,717,57,63,32.64
24.2,0.5,957,244,102,221.6
15.99,0.43,1200,176,143,109.84
6.16,0.12,1118,301,98,352.54
21.44,0.86,974,413,79,253.89
15.25,0.28,882,350,144,233.52
28.72,0.82,941,145,76,125.76
12.17,3.04,947,2,120,0.13
14.64,0.38,841,223,124,116.54
21.95,7.32,1353,268,100,21.75
14.45,0.38,1130,267,139,165.08
25.42,0.79,680,399,126,138.58
24.22,0.54,1012,287,60,434.23
12.79,0.58,1272,439,61,403.73
27.49,0.48,1058,275,146,228.26
19.31,0.57,868,302,60,296.01
9.39,0.22,1218,400,99,420.09
6.52,0.16,825,370,105,236.93
7.5,0.28,1122,173,77,135.05
20.21,1.55,1421,178,125,52.77
12.74,6.37,730,243,67,10.59
16.15,0.62,1308,383,109,239.44
18.1,0.34,822,464,118,344.14
26.58,0.86,783,141,75,90.99
7.14,0.26,890,53,80,32.38
5.91,0.12,1257,206,147,173.51
13.09,0.22,887,255,77,349.56
16.2,16.2,1134,403,120,7.62
10.49,3.5,1207,124,73,12.29
29.23,0.66,909,59,69,68.85
13.96,0.32,944,45,73,50.77
3.1,0.78,530,488,140,14.68
28.37,0.71,519,480,146,136.36
20.33,2.26,992,312,80,69.6
12.64,0.35,1295,380,141,252.08
5.38,0.22,1393,63,124,34.61
14.26,0.84,547,289,119,45.1
25.28,0.77,1007,185,144,84.95
2.57,0.07,1500,491,84,643.81
6.19,0.12,799,158,96,135.67
2.92,0.05,742,332,93,309.39
22.49,0.4,697,313,146,168.03
14.42,1.31,1250,324,128,69.66
2.6,0.37,944,323,107,40.05
9.72,0.24,790,324,80,259.16
3.32,0.13,520,48,118,10.8
16.78,2.8,1304,355,110,50.44
4.08,0.08,1103,138,83,187.06
7.62,0.23,968,335,130,165.29
16.38,5.46,683,470,112,17.2
4.24,0.09,1224,345,87,457.34
9.15,9.15,752,388,89,6.56
25.73,0.54,1343,359,108,425.42
11.52,0.21,1009,214,124,191.05
20.37,0.41,1314,5,78,8.37
23.67,1.08,976,166,100,71.02
2.61,0.15,882,294,149,60.56
18.69,0.98,1413,93,65,77.11
19.72,0.35,855,480,126,367.03
6.91,0.29,1101,330,85,203.7
25.62,0.5,1180,468,117,483.71
11.04,2.21,940,229,88,24.44
4.43,1.11,775,39,93,2.59
10.37,3.46,1423,376,103,31.14
26.39,0.63,984,277,103,221.7
4.38,0.24,916,244,82,99.49
16.43,1.03,893,158,110,40.92
19.23,0.66,1233,6,93,4.64
15.31,0.29,937,243,124,193.88
3.22,0.09,959,6,68,6.05
21.97,0.54,1038,431,139,261.89
8.92,0.16,1141,368,146,320.67
3.08,0.11,600,136,131,34.88
15.66,1.2,954,360,145,61.82
17.45,17.45,765,429,69,9.51
11.43,0.23,828,376,110,281.3
21.47,1.34,602,483,81,115.03
27.43,1.44,1369,324,67,252.21
10.14,2.54,522,280,113,10.33
3.85,0.35,1361,457,125,109.47
19.52,0.36,1393,413,110,567.17
22.5,0.52,1260,16,73,23.9
15.2,1.27,1151,326,73,123.04
28.1,2.16,507,308,103,39.45
11.97,0.36,1034,235,147,109.92
18.61,2.07,1273,379,62,139.92
11.63,0.21,938,238,68,363.63
19.27,0.4,649,360,79,284.95
24.61,0.43,637,247,66,272.88
27.04,1.0,822,313,99,140.55
5.19,1.3,1201,418,74,54.17
23.94,0.73,641,122,76,67.49
22.79,1.63,841,431,142,71.38
11.17,0.62,578,318,121,54.73
9.1,0.19,853,91,133,55.91
11.17,0.25,794,354,150,167.45
17.81,0.85,1214,429,110,198.41
14.57,0.3,548,105,69,81.0
23.77,0.41,1194,225,95,327.9
20.96,0.41,849,273,76,311.81
21.35,0.42,604,14,109,7.89
10.24,0.23,1098,343,147,228.13
17.6,0.37,889,156,128,103.08
8.98,0.23,667,175,108,84.4
8.88,0.16,705,430,113,297.78
24.53,6.13,897,256,122,15.06
18.31,0.35,754,13,96,10.68
19.68,3.28,553,232,104,14.8
26.41,0.91,1347,195,108,141.17
10.11,3.37,848,465,120,19.72
14.89,0.3,1183,391,120,382.63
12.04,1.0,1362,358,103,113.99
10.83,0.98,900,436,113,76.75
23.61,0.48,797,90,132,53.46
27.54,0.59,577,3,133,1.22
7.89,0.18,1235,182,95,207.42
5.62,1.12,905,41,65,5.73
7.77,0.31,1032,401,88,235.74
26.69,1.16,1491,22,73,20.68
18.61,0.6,913,429,109,222.91
18.1,3.02,1457,143,119,20.99
10.95,0.35,600,51,82,23.35
25.92,0.59,1103,123,134,88.96
2.36,0.09,698,479,95,184.57
9.1,0.4,616,120,63,53.39
15.29,15.29,1390,70,146,1.33
19.36,0.65,831,194,149,64.45
24.53,24.53,665,307,145,2.82
6.68,0.13,1193,466,65,878.97
