Distance (km),Average Speed (km/h),Calories Burned,Climb (m),Average Heart rate (tpm),Quality
8.61,0.18,1361,42,97,0.9
29.85,9.95,938,360,79,502.8
4.43,0.08,1480,490,141,6.21
21.92,0.69,1414,350,64,18.11
24.13,0.73,959,496,64,40.19
29.98,1.25,590,333,78,91.72
2.51,0.21,1109,63,77,1.53
8.46,0.34,1279,416,125,22.93
5.16,0.12,1164,298,114,5.82
7.86,1.31,1426,69,66,6.97
9.04,0.21,1072,378,97,11.97
8.85,0.18,582,156,98,7.88
14.55,0.81,938,245,113,39.52
3.28,0.82,1423,489,70,32.87
16.41,0.46,1053,469,87,29.64
14.84,0.25,508,31,124,3.05
27.8,0.57,1112,490,102,42.61
2.26,0.09,1232,113,114,1.54
19.8,0.51,1191,102,136,9.9
2.46,0.1,1479,307,122,4.21
11.83,0.51,1353,335,115,24.06
7.06,0.59,1197,482,73,28.79
17.91,1.63,861,168,149,78.98
11.52,0.96,1308,207,68,17.22
10.71,2.68,1154,6,92,2.14
5.25,1.75,1259,202,142,66.12
14.61,0.32,631,67,125,6.97
6.89,0.26,746,121,64,4.46
26.02,8.67,888,489,92,732.07
12.01,0.6,1377,160,145,16.74
27.07,2.08,675,311,64,101.57
11.13,0.27,1245,12,143,0.62
24.0,2.18,1293,213,99,59.25
10.56,0.25,966,197,87,7.32
6.81,0.68,963,100,150,17.48
26.79,0.6,816,58,147,10.27
23.33,0.4,799,434,60,21.63
18.33,1.15,891,193,119,49.15
15.48,0.41,964,148,130,13.55
13.86,0.32,1369,91,136,4.77
7.51,0.68,830,116,129,20.08
3.09,0.08,1141,480,136,7.63
17.41,8.71,820,441,66,515.27
20.42,1.86,1183,232,92,55.69
19.15,0.41,1215,70,66,2.56
9.14,0.25,1170,337,120,14.36
19.96,0.43,1168,38,96,2.12
15.8,1.44,520,194,123,109.0
27.36,9.12,775,356,95,659.58
10.38,0.4,909,316,78,18.02
26.63,0.51,542,475,63,46.83
15.0,0.33,1144,364,145,25.31
6.76,0.11,1349,285,86,3.33
21.52,7.17,935,303,69,267.21
22.72,0.65,649,341,100,56.59
21.26,21.26,544,461,107,3198.97
9.82,0.26,1180,375,128,17.63
4.12,0.1,841,65,70,0.87
27.27,0.51,1082,193,70,10.56
24.34,1.43,1357,58,117,11.71
19.14,0.52,965,259,91,21.09
18.23,1.4,771,144,82,35.74
13.73,0.46,1008,270,125,25.67
19.72,0.4,908,80,76,4.35
7.14,0.27,959,458,147,31.45
9.23,0.24,757,356,101,18.89
28.02,0.54,1467,44,72,1.86
11.84,0.22,647,155,114,9.88
16.6,0.75,786,100,116,18.26
10.75,0.25,1037,259,107,11.09
28.04,1.56,716,285,147,152.13
12.01,0.23,600,86,129,6.92
12.13,0.87,1149,48,129,7.81
20.69,0.37,564,310,130,43.92
23.73,0.64,539,425,94,78.69
4.17,0.1,1363,358,142,6.2
20.81,0.95,651,427,119,123.3
2.85,0.08,763,389,102,6.9
14.81,0.34,704,32,149,3.6
8.42,4.21,1287,490,116,309.26
19.69,0.7,1403,324,69,18.59
8.69,0.4,1007,437,149,42.91
16.65,0.31,505,327,149,49.85
4.94,0.1,709,361,137,11.59
7.83,0.44,1072,168,122,14.02
28.96,2.63,1227,214,91,69.24
19.87,0.76,1144,408,124,56.02
26.37,1.05,770,263,123,72.96
4.9,0.11,1039,185,95,3.07
7.1,0.23,1083,127,61,2.72
20.07,2.23,1341,36,102,10.18
12.72,0.22,1478,322,107,8.52
21.67,0.49,887,478,105,46.11
28.38,0.98,591,97,63,16.71
22.35,1.72,1011,407,98,112.54
4.77,0.15,621,225,91,8.24
25.76,1.52,910,122,116,38.75
24.2,0.55,932,31,81,2.39
21.53,1.13,1344,117,103,16.89
19.03,1.59,842,190,123,73.16
4.48,0.12,1001,409,80,6.52
24.88,1.66,808,371,97,122.56
20.06,1.67,1327,123,121,31.22
27.63,0.53,635,15,150,3.13
10.45,0.55,899,129,113,14.86
14.05,0.94,968,214,116,39.99
14.83,0.28,1469,292,150,13.87
23.25,0.86,911,192,85,25.68
12.2,0.24,1403,18,61,0.31
10.87,1.09,1295,269,101,37.83
28.61,4.77,899,383,127,427.89
18.67,0.35,1276,438,137,27.43
28.28,0.71,1438,6,95,0.47
24.34,0.51,773,149,97,15.68
14.12,4.71,1182,129,123,105.38
9.01,0.32,1310,294,96,11.49
22.23,0.53,1308,266,114,20.32
3.8,0.95,636,70,123,21.13
9.11,0.19,895,352,97,12.05
10.06,0.77,1033,237,96,28.27
16.0,0.76,547,385,117,104.04
4.98,0.36,619,249,62,14.96
4.73,0.39,1232,5,147,0.23
23.37,0.44,1105,91,104,6.21
18.81,0.35,1226,82,61,2.35
10.6,0.66,1409,301,144,33.73
16.85,0.35,1417,36,82,1.22
26.62,0.52,981,177,61,9.54
5.04,0.11,1205,199,72,2.17
18.35,1.15,626,94,121,34.45
21.14,0.52,685,330,140,58.45
3.18,0.08,741,7,87,0.09
2.65,0.07,1170,28,144,0.39
18.49,0.84,781,20,105,3.39
27.69,0.73,1084,116,97,12.41
23.67,2.63,1364,358,137,157.17
9.04,0.16,1086,371,106,9.6
10.85,0.83,1480,137,131,16.53
10.89,0.91,624,92,96,21.0
19.29,4.82,628,220,114,319.36
22.34,0.44,838,459,144,57.84
10.98,0.25,1431,461,60,8.02
6.39,0.18,1441,235,61,2.97
17.31,4.33,608,96,137,156.11
6.16,1.03,858,178,85,30.1
6.46,0.14,1327,161,147,4.11
27.49,4.58,1282,446,87,230.0
3.56,0.07,1266,45,148,0.61
18.64,0.33,981,375,141,29.64
13.31,0.61,641,349,86,47.47
29.76,0.52,521,162,79,21.29
16.04,0.3,1274,266,106,10.98
21.38,0.74,1165,161,87,14.64
6.66,2.22,1332,494,116,158.53
17.76,1.11,723,335,93,79.24
21.2,0.76,645,297,119,69.41
4.37,0.16,876,266,85,6.83
29.04,0.53,685,245,127,39.8
6.68,1.11,1165,56,87,7.46
8.69,0.17,704,337,138,18.66
22.74,1.42,1222,339,150,98.48
27.85,3.98,1041,457,118,342.87
4.33,1.08,688,131,111,37.46
26.07,1.04,1013,298,66,33.54
13.71,0.33,964,182,103,10.58
5.32,0.11,1043,64,135,1.49
4.97,0.12,632,386,116,14.1
2.06,0.29,962,385,129,24.89
14.26,1.1,892,317,90,58.27
21.28,0.49,522,155,105,25.13
27.77,0.96,1174,134,139,25.01
22.02,0.79,775,406,111,76.38
6.05,0.24,1290,310,89,8.53
17.1,0.37,1102,89,82,3.99
24.07,0.45,607,306,137,51.8
10.87,0.28,629,124,127,11.59
7.06,0.12,1288,305,114,5.36
15.18,2.17,1055,471,101,163.08
22.05,1.47,900,159,95,41.12
28.76,0.54,549,178,104,30.18
26.59,2.42,786,418,118,252.5
20.4,0.52,626,461,71,45.12
5.24,0.12,1276,77,63,0.74
14.76,0.49,575,201,119,33.97
20.12,0.42,1245,313,146,25.61
17.01,0.43,1356,31,147,2.33
16.18,0.28,796,411,74,17.83
2.42,0.06,1430,102,121,0.86
3.86,0.11,1393,244,144,4.61
23.46,0.46,1360,1,128,0.0
12.89,0.29,1269,86,143,4.58
18.84,0.72,1316,489,116,51.72
22.97,0.51,627,137,134,24.52
14.03,2.0,694,449,87,186.79
8.77,2.92,1149,13,99,5.03
2.54,0.06,776,326,119,4.97
14.17,2.83,714,180,118,140.31
3.63,0.17,1217,486,130,14.71
16.85,0.32,1018,65,102,3.37
20.77,0.77,869,478,121,85.24
23.03,0.4,912,408,74,22.07
19.54,0.47,796,342,130,43.75
25.84,0.81,1263,367,80,31.3
16.81,0.51,1001,211,87,15.51
14.25,0.41,715,364,68,23.59
27.38,0.91,874,228,150,59.35
14.85,1.24,1065,111,76,16.37
10.75,0.57,739,232,143,42.46
19.95,0.34,512,417,99,45.69
27.05,0.52,973,423,61,22.98
28.4,0.73,528,472,123,133.49
25.55,0.46,1112,467,103,33.02
20.16,0.63,688,429,90,58.93
29.9,1.36,905,76,82,15.4
3.74,0.62,1256,6,135,0.67
24.5,0.42,773,201,129,23.48
19.55,0.67,1163,109,98,10.16
4.26,0.39,1099,479,61,17.21
3.34,0.18,1432,118,149,3.65
21.64,0.77,896,258,91,33.63
28.62,0.68,1494,156,96,11.36
22.41,0.62,866,80,60,5.58
17.11,1.71,1198,444,65,68.66
20.62,0.76,1141,185,68,13.81
19.01,0.38,1495,290,101,12.32
20.36,0.47,706,174,85,16.41
23.69,2.15,628,207,134,158.27
26.15,0.58,786,177,115,25.03
8.65,0.33,1182,11,149,0.62
6.83,0.23,1240,303,141,13.21
9.15,0.37,757,143,66,7.58
12.16,0.31,1497,188,147,9.44
2.73,0.07,1064,321,119,4.19
8.45,0.21,1073,356,130,15.01
24.86,0.57,1078,166,123,17.89
11.71,0.53,1367,371,61,14.54
15.58,3.9,761,169,128,183.67
22.05,2.21,595,471,71,207.02
9.91,0.22,874,224,141,13.13
10.94,0.25,969,248,84,8.89
15.6,1.95,1105,328,93,89.44
8.64,0.35,1392,375,123,19.33
8.66,0.32,555,30,118,3.4
25.53,0.73,1497,429,108,37.66
14.64,4.88,748,121,80,104.39
6.45,0.11,1135,498,137,11.02
9.51,0.19,559,183,73,7.57
6.31,0.16,941,191,126,6.75
12.67,0.53,1049,12,69,0.7
21.22,0.53,1170,279,139,29.28
18.6,0.5,953,47,99,3.9
24.79,12.4,749,128,65,225.98
23.0,0.61,1158,380,115,38.16
18.71,1.17,986,434,150,128.15
13.62,0.47,727,231,71,17.67
26.66,2.96,568,126,104,113.81
13.99,0.44,1125,139,75,6.75
28.99,0.64,864,279,71,24.46
5.01,0.09,1472,302,134,4.1
4.74,0.36,1096,254,91,12.55
22.33,0.74,1166,365,73,28.03
16.52,1.27,524,261,109,114.92
7.91,0.49,966,261,70,15.45
9.75,0.46,1116,41,83,2.22
15.96,0.31,1482,466,137,22.21
14.92,0.68,1014,97,144,15.45
26.93,0.96,817,313,131,80.04
23.57,0.64,1272,329,147,40.31
11.31,0.32,1365,351,118,16.18
6.87,0.15,1353,453,94,7.87
5.09,0.19,940,486,84,13.75
21.21,0.42,1465,414,107,21.17
21.79,0.46,984,387,132,39.8
18.86,0.44,743,175,63,10.82
22.88,0.41,628,291,134,42.43
26.29,1.88,835,428,62,99.11
3.44,0.08,1284,496,94,4.83
16.76,0.8,1445,164,141,21.08
12.21,1.02,1231,9,100,1.24
21.76,0.52,1180,458,104,34.83
7.51,1.07,970,203,73,26.98
14.65,3.66,1182,247,112,142.19
18.24,0.31,1155,492,85,18.71
11.01,0.26,754,349,70,14.0
22.62,1.26,1230,431,94,68.85
27.29,1.14,1487,484,85,52.46
15.91,15.91,1198,58,98,123.64
6.85,0.26,1480,130,113,4.27
20.11,1.44,1460,205,104,34.88
12.48,0.83,563,82,128,25.47
25.16,3.15,705,357,121,321.68
12.34,2.47,1184,222,78,60.21
21.57,0.86,837,218,85,31.44
28.97,0.78,675,470,70,63.09
7.63,0.14,1055,467,87,8.95
6.75,0.45,1364,55,67,1.99
28.12,0.64,988,213,62,14.26
2.59,0.26,1383,48,86,1.29
5.19,0.26,1290,33,135,1.5
2.49,0.13,717,376,139,15.75
9.44,0.27,538,500,101,42.07
14.72,0.42,597,373,137,59.76
11.91,0.26,543,183,139,20.3
23.82,4.76,904,148,119,153.52
8.82,8.82,1176,58,86,61.28
12.35,0.25,1127,239,96,8.41
6.56,0.13,746,249,130,9.4
10.49,1.5,1445,210,70,25.43
6.34,0.11,699,332,130,11.25
23.44,0.45,1402,12,90,0.58
